movie_id,title,release_date,popularity,vote_count
617126,The Fantastic 4: First Steps,2025-07-22,664.436,1690
1078605,Weapons,2025-08-04,186.5583,1670
1061474,Superman,2025-07-09,177.7087,3414
803796,KPop Demon Hunters,2025-06-20,144.0946,1538
575265,Mission: Impossible - The Final Reckoning,2025-05-17,132.0818,1823
1087192,How to Train Your Dragon,2025-06-06,126.882,1967
911430,F1,2025-06-25,132.9294,2232
1234821,Jurassic World Rebirth,2025-07-01,121.2707,2207
7451,xXx,2002-08-09,101.1517,4568
552524,Lilo & Stitch,2025-05-17,76.0419,1675
541671,Ballerina,2025-06-04,67.696,1745
157336,Interstellar,2014-11-05,64.4193,37933
574475,Final Destination Bloodlines,2025-05-14,56.1779,2193
155,The Dark Knight,2008-07-16,57.378,34463
138843,The Conjuring,2013-07-18,46.1883,12214
1100988,28 Years Later,2025-06-18,45.9278,1478
986056,Thunderbolts*,2025-04-30,44.6644,2678
1233413,Sinners,2025-04-16,41.0428,2604
1010581,My Fault,2023-06-08,43.3459,3806
423108,The Conjuring: The Devil Made Me Do It,2021-05-25,39.1824,6252
1029575,The Family Plan,2023-12-14,43.6299,1615
24428,The Avengers,2012-04-25,43.1328,33214
76600,Avatar: The Way of Water,2022-12-14,39.01,12891
950387,A Minecraft Movie,2025-03-31,34.3681,2376
1241982,Moana 2,2024-11-21,34.2418,2717
259693,The Conjuring 2,2016-06-08,30.5046,8846
950396,The Gorge,2025-02-13,30.7982,3038
278,The Shawshank Redemption,1994-09-23,30.1957,28941
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,30.1548,4257
671,Harry Potter and the Philosopher's Stone,2001-11-16,32.7608,28645
1197306,A Working Man,2025-03-26,31.8894,1570
533535,Deadpool & Wolverine,2024-07-24,32.0413,7762
299536,Avengers: Infinity War,2018-04-25,29.889,30978
1022789,Inside Out 2,2024-06-11,30.6522,6151
9806,The Incredibles,2004-10-27,29.2151,18302
939243,Sonic the Hedgehog 3,2024-12-19,29.3538,2954
3933,Corpse Bride,2005-09-12,28.7981,9728
550,Fight Club,1999-10-15,25.682,30804
1156593,Your Fault,2024-12-26,26.5892,1360
106646,The Wolf of Wall Street,2013-12-25,28.9836,25018
829557,365 Days: This Day,2022-04-26,28.3385,1764
19995,Avatar,2009-12-15,27.2872,32649
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,26.3387,11085
933260,The Substance,2024-09-07,25.8281,5101
519182,Despicable Me 4,2024-06-20,26.0462,2929
822119,Captain America: Brave New World,2025-02-12,25.6884,2641
1011985,Kung Fu Panda 4,2024-03-02,25.2595,3225
385687,Fast X,2023-05-17,25.316,6053
870028,The Accountant²,2025-04-23,25.3862,1374
634649,Spider-Man: No Way Home,2021-12-15,25.3089,21144
27205,Inception,2010-07-15,24.6674,38012
198663,The Maze Runner,2014-09-10,24.4181,17581
260513,Incredibles 2,2018-06-14,24.0322,13275
862,Toy Story,1995-11-22,24.9915,19167
615457,Nobody,2021-03-18,24.7611,7749
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,23.1087,26413
359410,Road House,2024-03-08,21.9849,2685
912649,Venom: The Last Dance,2024-10-22,23.4156,3754
945961,Alien: Romulus,2024-08-13,21.3945,3983
122,The Lord of the Rings: The Return of the King,2003-12-17,22.0601,25487
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,22.0268,14813
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-15,20.82,14499
402431,Wicked,2024-11-20,21.8802,2421
354912,Coco,2017-10-27,22.371,20258
1087891,The Amateur,2025-04-09,20.8551,1211
1241436,Warfare,2025-04-09,19.5546,1032
216015,Fifty Shades of Grey,2015-02-11,22.2287,12118
539972,Kraven the Hunter,2024-12-11,21.202,2029
672,Harry Potter and the Chamber of Secrets,2002-11-13,21.629,22853
674,Harry Potter and the Goblet of Fire,2005-11-16,20.4151,21465
14836,Coraline,2009-02-05,19.9407,8558
762509,Mufasa: The Lion King,2024-12-18,20.1753,2380
845781,Red One,2024-10-31,20.182,2662
597,Titanic,1997-11-18,22.4309,26346
808,Shrek,2001-05-18,18.9184,17989
673,Harry Potter and the Prisoner of Azkaban,2004-05-31,20.6452,22420
12444,Harry Potter and the Deathly Hallows: Part 1,2010-11-17,20.2476,19758
1184918,The Wild Robot,2024-09-12,19.338,5377
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,19.997,21463
603,The Matrix,1999-03-31,21.8583,26832
1084199,Companion,2025-01-22,19.2321,1705
603692,John Wick: Chapter 4,2023-03-22,19.077,7391
438631,Dune,2021-09-15,17.5692,13960
496243,Parasite,2019-05-30,18.3395,19520
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,18.1389,16608
447273,Snow White,2025-03-12,18.6264,1398
569094,Spider-Man: Across the Spider-Verse,2023-05-31,18.0834,7924
129,Spirited Away,2001-07-20,18.771,17510
8966,Twilight,2008-11-20,18.4491,13975
10138,Iron Man 2,2010-04-28,18.4768,21741
177572,Big Hero 6,2014-10-24,17.8683,16105
99861,Avengers: Age of Ultron,2015-04-22,15.8534,23739
872585,Oppenheimer,2023-07-19,18.6999,10755
675,Harry Potter and the Order of the Phoenix,2007-07-08,18.1661,20170
299534,Avengers: Endgame,2019-04-24,17.4716,26765
558449,Gladiator II,2024-11-13,16.7218,3891
557,Spider-Man,2002-05-01,18.5358,19920
767,Harry Potter and the Half-Blood Prince,2009-07-15,18.3849,20150
315635,Spider-Man: Homecoming,2017-07-05,16.695,22515
566525,Shang-Chi and the Legend of the Ten Rings,2021-09-01,18.208,9965
16869,Inglourious Basterds,2009-08-02,17.956,23256
